AD,date,reconstructed,data_type_code,century,temp_bin,date_as_date,i,temp_class,id
812,401,9.9,Diary,9,>=9,2022-04-01,6,gte9,1
815,415,6,Diary,9,>=6 & <9,2022-04-15,20,gte6-and-lt9,2
831,406,8.6,Diary,9,>=6 & <9,2022-04-06,11,gte6-and-lt9,3
851,418,5.2,Diary,9,>=3 & <6,2022-04-18,23,gte3-and-lt6,4
853,414,6.3,Diary,9,>=6 & <9,2022-04-14,19,gte6-and-lt9,5
864,409,7.4,Diary,9,>=6 & <9,2022-04-09,14,gte6-and-lt9,6
866,416,5.7,Diary,9,>=3 & <6,2022-04-16,21,gte3-and-lt6,7
869,405,8.9,Diary,9,>=6 & <9,2022-04-05,10,gte6-and-lt9,8
889,414,6.3,Diary,9,>=6 & <9,2022-04-14,19,gte6-and-lt9,9
891,419,4.9,Poetry,9,>=3 & <6,2022-04-19,24,gte3-and-lt6,10
892,417,5.2,Diary,9,>=3 & <6,2022-04-17,22,gte3-and-lt6,11
894,416,5.7,Diary,9,>=3 & <6,2022-04-16,21,gte3-and-lt6,12
895,414,6.3,Poetry,9,>=6 & <9,2022-04-14,19,gte6-and-lt9,13
896,413,6.3,Poetry,9,>=6 & <9,2022-04-13,18,gte6-and-lt9,14
902,412,6.9,Phenology,10,>=6 & <9,2022-04-12,17,gte6-and-lt9,15
908,407,8,Phenology,10,>=6 & <9,2022-04-07,12,gte6-and-lt9,16
912,404,8.9,Diary,10,>=6 & <9,2022-04-04,9,gte6-and-lt9,17
913,420,4.6,Diary,10,>=3 & <6,2022-04-20,25,gte3-and-lt6,18
917,405,8.9,Diary,10,>=6 & <9,2022-04-05,10,gte6-and-lt9,19
923,414,6.3,Poetry,10,>=6 & <9,2022-04-14,19,gte6-and-lt9,20
926,408,8,Diary,10,>=6 & <9,2022-04-08,13,gte6-and-lt9,21
930,407,8.3,Phenology,10,>=6 & <9,2022-04-07,12,gte6-and-lt9,22
933,416,5.7,Phenology,10,>=3 & <6,2022-04-16,21,gte3-and-lt6,23
941,419,4.9,Diary,10,>=3 & <6,2022-04-19,24,gte3-and-lt6,24
949,417,5.4,Diary,10,>=3 & <6,2022-04-17,22,gte3-and-lt6,25
