date,century,median,sd,month,month_name,day,date_is_median,i
327,9,2022-04-14,3,3,March,27,FALSE,1
328,9,2022-04-14,3,3,March,28,FALSE,2
329,9,2022-04-14,3,3,March,29,FALSE,3
330,9,2022-04-14,3,3,March,30,FALSE,4
331,9,2022-04-14,3,3,March,31,FALSE,5
401,9,2022-04-14,3,4,April,01,FALSE,6
402,9,2022-04-14,2,4,April,02,FALSE,7
403,9,2022-04-14,2,4,April,03,FALSE,8
404,9,2022-04-14,2,4,April,04,FALSE,9
405,9,2022-04-14,2,4,April,05,FALSE,10
406,9,2022-04-14,2,4,April,06,FALSE,11
407,9,2022-04-14,2,4,April,07,FALSE,12
408,9,2022-04-14,1,4,April,08,FALSE,13
409,9,2022-04-14,1,4,April,09,FALSE,14
410,9,2022-04-14,1,4,April,10,FALSE,15
411,9,2022-04-14,1,4,April,11,FALSE,16
412,9,2022-04-14,1,4,April,12,FALSE,17
413,9,2022-04-14,1,4,April,13,FALSE,18
414,9,2022-04-14,1,4,April,14,TRUE,19
415,9,2022-04-14,1,4,April,15,FALSE,20
416,9,2022-04-14,1,4,April,16,FALSE,21
417,9,2022-04-14,1,4,April,17,FALSE,22
418,9,2022-04-14,1,4,April,18,FALSE,23
419,9,2022-04-14,1,4,April,19,FALSE,24
420,9,2022-04-14,1,4,April,20,FALSE,25
421,9,2022-04-14,2,4,April,21,FALSE,26
422,9,2022-04-14,2,4,April,22,FALSE,27
423,9,2022-04-14,2,4,April,23,FALSE,28
424,9,2022-04-14,2,4,April,24,FALSE,29
425,9,2022-04-14,2,4,April,25,FALSE,30
426,9,2022-04-14,2,4,April,26,FALSE,31
427,9,2022-04-14,3,4,April,27,FALSE,32
428,9,2022-04-14,3,4,April,28,FALSE,33
429,9,2022-04-14,3,4,April,29,FALSE,34
430,9,2022-04-14,3,4,April,30,FALSE,35
501,9,2022-04-14,3,5,May,01,FALSE,36
502,9,2022-04-14,3,5,May,02,FALSE,37
503,9,2022-04-14,3,5,May,03,FALSE,38
504,9,2022-04-14,3,5,May,04,FALSE,39
