Full-flowering date,century,n,mean_temp,temp_bin
327,13,1,11.5,>=9
327,15,1,11.8,>=9
327,17,1,11.5,>=9
328,10,1,11.5,>=9
328,14,1,11.2,>=9
328,17,1,11.5,>=9
329,20,1,11.2,>=9
330,10,1,10.8,>=9
330,12,1,10.5,>=9
330,18,1,10.8,>=9
401,9,1,9.9,>=9
401,13,1,9.9,>=9
401,15,2,10.05,>=9
401,18,1,10.2,>=9
401,20,1,10.2,>=9
401,21,2,10.05,>=9
402,11,1,9.9,>=9
402,15,1,9.6,>=9
402,20,1,9.9,>=9
403,15,1,9.6,>=9
403,16,2,9.6,>=9
403,17,4,9.6,>=9
403,18,1,9.6,>=9
403,19,1,9.6,>=9
403,20,4,9.525,>=9
404,10,3,9.166666666666668,>=9
404,13,1,9.3,>=9
404,14,2,9.3,>=9
404,15,2,9.3,>=9
404,16,1,9.3,>=9
404,17,1,8.9,>=6 & <9
404,19,1,8.9,>=6 & <9
404,20,2,9.100000000000001,>=9
404,21,1,8.9,>=6 & <9
405,9,1,8.9,>=6 & <9
405,10,2,8.9,>=6 & <9
405,11,1,8.6,>=6 & <9
405,12,1,8.9,>=6 & <9
405,14,1,8.9,>=6 & <9
405,15,3,8.8,>=6 & <9
405,16,1,8.9,>=6 & <9
405,17,1,8.9,>=6 & <9
405,18,2,8.75,>=6 & <9
405,20,2,8.9,>=6 & <9
405,21,2,8.9,>=6 & <9
406,9,1,8.6,>=6 & <9
406,11,2,8.6,>=6 & <9
406,12,1,8.6,>=6 & <9
406,13,2,8.6,>=6 & <9
406,14,1,8.6,>=6 & <9
406,15,4,8.45,>=6 & <9
406,16,2,8.45,>=6 & <9
406,17,2,8.6,>=6 & <9
406,18,2,8.6,>=6 & <9
406,19,2,8.6,>=6 & <9
406,20,1,8.6,>=6 & <9
406,21,1,8.6,>=6 & <9
407,10,3,8.200000000000001,>=6 & <9
407,11,1,8.3,>=6 & <9
407,12,2,8,>=6 & <9
407,13,3,8.200000000000001,>=6 & <9
407,14,3,8.1,>=6 & <9
407,15,3,8.200000000000001,>=6 & <9
407,16,4,8.225000000000001,>=6 & <9
407,17,3,8.3,>=6 & <9
407,18,3,8.1,>=6 & <9
407,19,3,8.200000000000001,>=6 & <9
407,20,10,8.3,>=6 & <9
407,21,1,8.3,>=6 & <9
408,10,3,8,>=6 & <9
408,11,1,8,>=6 & <9
408,13,2,8,>=6 & <9
408,14,2,7.7,>=6 & <9
408,15,6,8,>=6 & <9
408,16,1,8,>=6 & <9
408,17,1,8,>=6 & <9
408,18,2,7.85,>=6 & <9
408,19,3,8,>=6 & <9
408,20,11,7.863636363636363,>=6 & <9
408,21,2,8,>=6 & <9
409,9,1,7.4,>=6 & <9
409,11,1,7.7,>=6 & <9
409,12,1,7.4,>=6 & <9
409,13,1,7.7,>=6 & <9
409,14,2,7.550000000000001,>=6 & <9
409,15,5,7.640000000000001,>=6 & <9
409,16,3,7.6000000000000005,>=6 & <9
